code_bss,code_bss_nouveau,longitude,latitude,derniere_classe,dernier_ips,derniere_date_calcul
00067X0183/PZ1,BSS000AJQA,1.991691,50.781205,1,-1.2951,2026-06-10
00104X0054/P1,BSS000ANQX,1.749102,50.690366,3,-0.7071,2026-06-10
00115X0011/P1,BSS000AQWU,1.872798,50.586105,4,0.0583,2026-06-10
00148D0177/F2,BSS000BNUD,3.234083,50.618749,4,0.0552,2026-06-10
00241X0012/P1,BSS000CJSH,1.820299,50.387127,5,0.6381,2026-06-10
00254X0037/PZ1,BSS000CLBA,2.498364,50.35691,4,-0.1599,2026-06-10
00271X0002/P2,BSS000CPAH,2.8892,50.348131,3,-0.4782,2026-06-10
00291X0031/P1,BSS000CZHY,3.641252,50.370975,3,-0.6865,2026-06-10
00332X0007/S1,BSS000DELW,1.946939,50.185332,4,0.1661,2026-06-10
00367X0026/P1,BSS000DKRE,3.086181,50.111181,3,-0.4053,2026-06-10
00387X0184/PZCC1,BSS000DQWD,3.794038,50.109495,3,-0.5091,2026-06-10
00444X0008/S1,BSS000DVEZ,1.757927,50.019654,4,0.0599,2026-06-10
00471X0095/PZ2013,BSS000EBLL,2.578405,50.023705,4,-0.2302,2026-06-10
00497X0018/S1,BSS000EFUM,3.451996,49.937993,2,-0.961,2026-06-10
00516X0059/S1,BSS000EJEJ,4.099993,49.90651,4,-0.2005,2026-06-10
00578X0043/S1,BSS000ELQF,0.63722,49.747314,0,,2026-06-10
00633X0132/FR.PAC,BSS000ESPA,2.710036,49.83572,5,0.6071,2026-06-10
00675X0019/S1,BSS000EZQH,4.045933,49.742207,3,-0.3333,2026-06-10
00692X0062/P,BSS000FBDR,4.82876,49.821555,4,0.2386,2026-06-10
00732X0032/P,BSS000FEMD,-1.286369,49.635886,3,-0.816,2026-06-10
00775X0099/F14,BSS000FLDL,1.163091,49.562565,4,-0.1184,2026-06-10
00777X0008/S1,BSS000FLMB,1.324192,49.51878,3,-0.3104,2026-06-10
00805X0002/S1,BSS000FPVM,2.211415,49.550575,4,-0.1894,2026-06-10
00836X0007/P,BSS000FWEX,3.331708,49.572929,3,-0.8362,2026-06-10
00845X0036/S1,BSS000FXJH,3.600729,49.572275,4,-0.1892,2026-06-10
00853X0030/PZ2013,BSS000FYFY,4.157302,49.607394,3,-0.7314,2026-06-10
00937X0030/F4,BSS000GCLD,-1.604425,49.328102,3,-0.5115,2026-06-10
00941X0034/S-2,BSS000GCSA,-1.370901,49.429006,1,-1.4675,2026-06-10
00945X0064/F,BSS000GCZV,-1.399907,49.354458,4,0.1704,2026-06-10
00955X0066/PZ,BSS000GDJL,-1.076711,49.333927,5,0.4193,2026-06-10
00956X0055/S1,BSS000GDMV,-0.928069,49.348811,3,-0.3491,2026-06-10
00987X0009/S1,BSS000GLBB,0.580959,49.380234,5,0.4244,2026-06-10
01013X0004/S1,BSS000GUEJ,1.630681,49.436858,0,,2026-06-10
01024X0058/S1,BSS000GWHZ,2.096644,49.448929,4,0.1963,2026-06-10
01046X0010/S1,BSS000HAUV,2.614679,49.382915,4,0.0434,2026-06-10
01074X0006/S1,BSS000HJFB,3.919036,49.488032,3,-0.763,2026-06-10
01086X0011/LS4,BSS000HKXF,4.099641,49.340029,2,-1.1963,2026-06-10
01102X0025/S1,BSS000HMCX,4.855386,49.477008,3,-0.615,2026-06-10
01116X0138/F1,BSS000HNYS,5.159151,49.365965,3,-0.7292,2026-06-10
01168X0065/P,BSS000HURB,-1.497572,49.214932,5,0.7101,2026-06-10
01176X0061/F,BSS000HVKV,-1.282094,49.223789,4,0.0215,2026-06-10
01192X0043/S1,BSS000HXEC,-0.60239,49.251929,3,-0.6836,2026-06-10
01195X0200/F2,BSS000HYRU,-0.713922,49.160372,2,-1.0939,2026-06-10
01198X0002/S1,BSS000HZRN,-0.379746,49.213827,4,0.1112,2026-06-10
01205X0541/P7,BSS000JBYK,-0.347883,49.146593,5,0.3314,2026-06-10
01245X0010/S1,BSS000JNAH,1.089271,49.224047,4,0.0007,2026-06-10
01252X0011/S1,BSS000JPZR,1.536149,49.299956,4,-0.0029,2026-06-10
01258X0020/S1,BSS000JRAR,1.711584,49.197517,4,0.1395,2026-06-10
01264X0029/S1,BSS000JRWX,2.077211,49.238223,4,0.0769,2026-06-10
01266X1013/S1,BSS000JSGS,1.901276,49.145695,4,0.1944,2026-06-10
01287X0017/S1,BSS000JYPY,2.745535,49.210904,4,-0.2424,2026-06-10
01293X0071/S1,BSS000JZSV,3.098207,49.24922,3,-0.358,2026-06-10
01308X0082/S1,BSS000KCKN,3.513219,49.202918,4,0.2189,2026-06-10
01377X0205/F3,BSS000KPVQ,6.012911,49.144146,2,-0.948,2026-06-10
01381X0070/P25,BSS000KQJF,6.178205,49.303646,3,-0.707,2026-06-10
01423X0044/F4,BSS000KUVA,-1.605123,49.085591,5,0.2762,2026-06-10
01446X0005/S3-91,BSS000KWZD,-0.907758,48.977692,2,-1.2206,2026-06-10
01473X0087/S1,BSS000LAEA,0.239223,49.057654,3,-0.6925,2026-06-10
01487X0001/S1,BSS000LBFR,0.585971,48.963157,3,-0.7969,2026-06-10
01516X0004/S1,BSS000LETA,1.614978,48.981566,3,-0.4814,2026-06-10
